text	label
the movie begins in the past where a young boy named sam attempts to save celebi from a hunter . 	0
emerging from the human psyche and showing characteristics of abstract expressionism , minimalism and russian constructivism , graffiti removal has secured its place in the history of modern art while being created by artists who are unconscious of their artistic achievements . 	0
spurning her mother's insistence that she get on with her life , mary is thrown out of the house , rejected by joe , and expelled from school as she grows larger with child . 	0
amitabh can't believe the board of directors and his mind is filled with revenge and what better revenge than robbing the bank himself , ironic as it may sound . 	0
she , among others excentricities , talks to a small rock , gertrude , like if she was alive . 	0
this gives the girls a fair chance of pulling the wool over their eyes using their sexiness to poach any last vestige of common sense the dons might have had . 	0
"styled after vh1's "" behind the music , "" this mockumentary profiles the rise and fall of an internet startup , called icevan . com . "	0
being blue is not his only predicament ; he also lacks the ability to outwardly express his emotions . 	0
the killer's clues are a perversion of biblical punishments for sins : stoning , burning , decapitation . 	0
david is a painter with painter's block who takes a job as a waiter to get some inspiration . 	0
women craved him and men wanted to be him . 	0
set on an island off the coast of florida , a techno rave party attracts a diverse group of college coeds and a coast guard officer . 	0
"lesson to be learned : never , never mess with "" the gay mafia ! "" "	0
the theme of the film simultaneously addresses the similarities between the two factions of law and crime while revealing the similarities between the two brothers . 	0
they're jewish , they're grandmothers , and they're lesbians . 	0
but he's neglecting his work , carping at his mom , and behaving badly toward his loyal friend bobbi . 	0
with all this going on , gerry's estranged wife margaret is worried for her daughter's safety and finds herself another target in the race to find the code . 	0
valento feels the heat and turns the table : he makes the dupe into one of his own and rubs the da's nose in it . 	0
saigon , 1952 , a beautiful , exotic , and mysterious city caught in the grips of the vietnamese war of liberation from the french colonial powers . 	0
deep in the northwest , there is a lone ranch tucked away so purposefully , the only way to find it is by not looking . 	0
as a young teenager , he finds out who his father is . 	0
"in life , there's silver , and there's lead , says rikki ortega , as he moves to be king of the street in "" &#193 ; nglio , "" l . a . 's east side . "	0
all these games of chasing , rejecting and seducing are played out in an economically and spiritually depressed hong kong , without much gusto . 	0
television made him famous , but his biggest hits happened off screen . 	0
jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice . 	0
smart and alert , thirteen conversations about one thing is a small gem . 	1
color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking . 	1
it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another . 	1
a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew . 	1
my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more . 	1
works both as an engaging drama and an incisive look at the difficulties facing native americans . 	1
even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture . 	1
when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart . 	1
the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script . 	1
the script is a tired one , with few moments of joy rising above the stale material . 	1
the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is . 	1
directed by david twohy with the same great eye for eerie understatement that he brought to pitch black . 	1
it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere . 	1
provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already . 	1
worth a look by those on both sides of the issues , if only for the perspective it offers , one the public rarely sees . 	1
watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it . 	1
despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age . 	1
it's a good thing that woolly mammoths are extinct , because this movie will have every kid in the schoolyard wishing for their very own . 	1
preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure . 	1
4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly . 	1
si el siglo xxi necesita de h�roes , el hombre ara�a parece haber llegado para quedarse . 	1
it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins . 	1
it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time . 	1
writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable . 	1
hill looks to be going through the motions , beginning with the pale script . 	1
